Part of Cell,Function,Animal or Plant?
Nucleus,control center,both
Mitochondria,powerhouse,both
Chloroplast,produces food,plant
Vacuole,"stores food, water, waste",both
Ribosomes,makes proteins,both
Golgi Body,stores and packages proteins,both
Endoplasmic Reticulum,transports substances,both
Lysosome,breaks down cell waste,animal
Cell Membrane,outer boundary,both
Cell Wall,surrounds cell membrane,plant
Chromosomes,made of DNA,both
Cytoplasm,clear jelly fluid,both
Nucleolus,stores RNA,both
